31006
100;X = 3.436890	Y = -2.750366	Z = 3.499634
104;X = 1.313354	Y = -3.875854	Z = -0.281860
109;X = 1.313354	Y = -3.875854	Z = -0.281860
113;X = 3.156372	Y = 0.000488	Z = 2.218140
118;X = 3.156372	Y = 0.000488	Z = 2.218140
122;X = 3.156372	Y = 0.000488	Z = 2.218140
126;X = 3.405762	Y = 3.811523	Z = 1.312500
132;X = 3.405762	Y = 3.811523	Z = 1.312500
136;X = -2.031006	Y = -3.530884	Z = 0.937012
141;X = -2.031006	Y = -3.530884	Z = 0.937012
145;X = 3.812500	Y = 3.250366	Z = 1.906494
149;X = 3.812500	Y = 3.250366	Z = 1.906494
154;X = -2.093994	Y = 3.719604	Z = -0.093506
158;X = -2.093994	Y = 3.719604	Z = -0.093506
163;X = -2.093994	Y = 3.719604	Z = -0.093506
167;X = -3.438721	Y = -3.718628	Z = -3.155518
173;X = -3.438721	Y = -3.718628	Z = -3.155518
177;X = 1.406982	Y = -1.405640	Z = 0.718872
181;X = 1.406982	Y = -1.405640	Z = 0.718872
186;X = 3.655884	Y = 3.906372	Z = -2.624023
190;X = 3.655884	Y = 3.906372	Z = -2.624023
195;X = -2.593750	Y = 0.500854	Z = 2.843018
199;X = -2.593750	Y = 0.500854	Z = 2.843018
204;X = -2.593750	Y = 0.500854	Z = 2.843018
208;X = -3.375977	Y = 2.719238	Z = 3.437012
212;X = -3.375977	Y = 2.719238	Z = 3.437012
218;X = -0.000610	Y = -1.594238	Z = 0.155640
222;X = -0.000610	Y = -1.594238	Z = 0.155640
227;X = -0.531494	Y = -3.250122	Z = -1.843018
231;X = -0.531494	Y = -3.250122	Z = -1.843018
236;X = 2.718262	Y = 2.718628	Z = 0.906128
240;X = 2.718262	Y = 2.718628	Z = 0.906128
244;X = 2.718262	Y = 2.718628	Z = 0.906128
249;X = 2.468628	Y = 0.625610	Z = 3.967407
253;X = 2.468628	Y = 0.625610	Z = 3.967407
259;X = -2.625610	Y = -1.594116	Z = 3.686523
263;X = -2.625610	Y = -1.594116	Z = 3.686523
268;X = 2.936890	Y = 2.436157	Z = -3.561401
272;X = 2.936890	Y = 2.436157	Z = -3.561401
276;X = 1.842651	Y = 2.030273	Z = 2.156860
281;X = 1.842651	Y = 2.030273	Z = 2.156860
285;X = 0.125000	Y = -3.437378	Z = 3.312866
290;X = 0.125000	Y = -3.437378	Z = 3.312866
294;X = 0.125000	Y = -3.437378	Z = 3.312866
300;X = 0.969482	Y = -3.280640	Z = 1.750488
304;X = 0.969482	Y = -3.280640	Z = 1.750488
308;X = 0.374512	Y = -2.687500	Z = -2.156494
313;X = 0.374512	Y = -2.687500	Z = -2.156494
317;X = -1.938354	Y = 0.562134	Z = -0.093750
322;X = -1.938354	Y = 0.562134	Z = -0.093750
326;X = -0.343384	Y = 2.031372	Z = 3.844238
331;X = -0.343384	Y = 2.031372	Z = 3.844238
335;X = -0.343384	Y = 2.031372	Z = 3.844238
339;X = -0.218506	Y = 1.905762	Z = 3.217895
345;X = -0.218506	Y = 1.905762	Z = 3.217895
349;X = 2.156006	Y = -1.125732	Z = 0.062622
354;X = 2.156006	Y = -1.125732	Z = 0.062622
358;X = 1.030762	Y = 1.062256	Z = 3.156250
363;X = 1.030762	Y = 1.062256	Z = 3.156250
367;X = 0.093628	Y = 3.811890	Z = 2.530640
371;X = 0.093628	Y = 3.811890	Z = 2.530640
376;X = 0.093628	Y = 3.811890	Z = 2.530640
380;X = -0.812378	Y = -0.437012	Z = -3.000244
386;X = -0.812378	Y = -0.437012	Z = -3.000244
390;X = -0.250977	Y = 2.811523	Z = 1.500244
395;X = -0.250977	Y = 2.811523	Z = 1.500244
399;X = -3.562988	Y = 1.062256	Z = 2.406250
003;X = -3.562988	Y = 1.062256	Z = 2.406250
408;X = -1.124268	Y = 0.531738	Z = -0.406250
412;X = -1.124268	Y = 0.531738	Z = -0.406250
417;X = -1.124268	Y = 0.531738	Z = -0.406250
421;X = 2.968384	Y = 3.624512	Z = -3.156982
427;X = 2.968384	Y = 3.624512	Z = -3.156982
431;X = -1.875977	Y = 2.718872	Z = -2.718872
435;X = -1.875977	Y = 2.718872	Z = -2.718872
440;X = -0.343994	Y = -1.218750	Z = 0.343628
444;X = -0.343994	Y = -1.218750	Z = 0.343628
449;X = 2.655518	Y = -1.219116	Z = 2.031738
453;X = 2.655518	Y = -1.219116	Z = 2.031738
458;X = 2.655518	Y = -1.219116	Z = 2.031738
462;X = -0.750488	Y = 3.500000	Z = -3.093506
466;X = -0.750488	Y = 3.500000	Z = -3.093506
472;X = 2.937378	Y = -0.687012	Z = 1.531494
476;X = 2.937378	Y = -0.687012	Z = 1.531494
481;X = -0.155640	Y = -1.968384	Z = -2.343994
485;X = -0.155640	Y = -1.968384	Z = -2.343994
490;X = 3.687866	Y = -0.343994	Z = -1.561768
494;X = 3.687866	Y = -0.343994	Z = -1.561768
499;X = 3.687866	Y = -0.343994	Z = -1.561768
503;X = 0.749023	Y = 1.250122	Z = 0.968750
507;X = 0.749023	Y = 1.250122	Z = 0.968750
513;X = -1.782104	Y = -2.405884	Z = 1.000977
517;X = -1.782104	Y = -2.405884	Z = 1.000977
522;X = 0.343994	Y = -1.280640	Z = 3.844360
526;X = 0.343994	Y = -1.280640	Z = 3.844360
530;X = -2.687988	Y = -0.750610	Z = 3.812744
535;X = -2.687988	Y = -0.750610	Z = 3.812744
539;X = -2.687988	Y = -0.750610	Z = 3.812744
544;X = 3.280640	Y = 2.499145	Z = 1.812866
548;X = 3.280640	Y = 2.499145	Z = 1.812866
553;X = 1.312866	Y = -2.781250	Z = 3.656860
558;X = 1.312866	Y = -2.781250	Z = 3.656860
562;X = -0.312622	Y = -1.967895	Z = 2.405884
567;X = -0.312622	Y = -1.967895	Z = 2.405884
571;X = -1.687866	Y = 2.094116	Z = 3.406250
576;X = -1.687866	Y = 2.094116	Z = 3.406250
580;X = -1.687866	Y = 2.094116	Z = 3.406250
585;X = 3.843384	Y = -2.593628	Z = 2.906616
589;X = 3.843384	Y = -2.593628	Z = 2.906616
594;X = -1.219360	Y = -1.624878	Z = -1.374268
599;X = -1.219360	Y = -1.624878	Z = -1.374268
603;X = 3.968018	Y = -0.468750	Z = 3.687256
608;X = 3.968018	Y = -0.468750	Z = 3.687256
612;X = 3.061401	Y = -1.906982	Z = -3.155518
617;X = 3.061401	Y = -1.906982	Z = -3.155518
621;X = -2.499756	Y = 1.062988	Z = -1.875000
626;X = -2.499756	Y = 1.062988	Z = -1.875000
630;X = -2.499756	Y = 1.062988	Z = -1.875000
634;X = 1.156982	Y = -2.687256	Z = -3.187622
640;X = 1.156982	Y = -2.687256	Z = -3.187622
644;X = -0.093994	Y = -3.687500	Z = 1.625366
649;X = -0.093994	Y = -3.687500	Z = 1.625366
653;X = 0.437134	Y = -2.000488	Z = 3.531738
658;X = 0.437134	Y = -2.000488	Z = 3.531738
662;X = 2.655762	Y = -0.093506	Z = -3.062256
666;X = 2.655762	Y = -0.093506	Z = -3.062256
671;X = 2.655762	Y = -0.093506	Z = -3.062256
675;X = -3.593750	Y = -2.249390	Z = -2.250244
680;X = -3.593750	Y = -2.249390	Z = -2.250244
685;X = 2.499634	Y = 2.030762	Z = 2.812134
690;X = 2.499634	Y = 2.030762	Z = 2.812134
694;X = 2.562012	Y = -3.562500	Z = -0.217529
698;X = 2.562012	Y = -3.562500	Z = -0.217529
703;X = 3.187012	Y = 3.969238	Z = 3.844482
707;X = 3.187012	Y = 3.969238	Z = 3.844482
712;X = 3.187012	Y = 3.969238	Z = 3.844482
716;X = 0.250122	Y = 1.438110	Z = 0.718994
721;X = 0.250122	Y = 1.438110	Z = 0.718994
726;X = -0.250854	Y = -2.719116	Z = 2.374878
730;X = -0.250854	Y = -2.719116	Z = 2.374878
735;X = -3.375488	Y = 1.000122	Z = 3.656860
739;X = -3.375488	Y = 1.000122	Z = 3.656860
744;X = -3.375488	Y = 1.375488	Z = 2.843262
748;X = -3.375488	Y = 1.375488	Z = 2.843262
753;X = -3.375488	Y = 1.375488	Z = 2.843262
757;X = 0.062378	Y = -1.155762	Z = -3.063110
762;X = 0.062378	Y = -1.155762	Z = -3.063110
766;X = -1.032593	Y = 0.281616	Z = -3.250610
771;X = -1.032593	Y = 0.281616	Z = -3.250610
776;X = 1.000854	Y = 1.624512	Z = -3.248779
780;X = 1.000854	Y = 1.624512	Z = -3.248779
785;X = 3.467895	Y = 0.062256	Z = 1.562256
789;X = 3.467895	Y = 0.062256	Z = 1.562256
794;X = 3.467895	Y = 0.062256	Z = 1.562256
798;X = -1.906982	Y = -0.437256	Z = 3.436035
802;X = -1.906982	Y = -0.437256	Z = 3.436035
807;X = 3.218994	Y = 2.812622	Z = -0.343872
812;X = 3.218994	Y = 2.812622	Z = -0.343872
817;X = 2.343628	Y = 2.031982	Z = -1.842529
821;X = 2.343628	Y = 2.031982	Z = -1.842529
826;X = -1.218506	Y = -1.250122	Z = 1.250244
830;X = -1.218506	Y = -1.250122	Z = 1.250244
834;X = -1.218506	Y = -1.250122	Z = 1.250244
839;X = 0.843506	Y = 3.654907	Z = 2.875488
843;X = 0.843506	Y = 3.654907	Z = 2.875488
848;X = -2.593628	Y = -0.688232	Z = 1.313232
852;X = -2.593628	Y = -0.688232	Z = 1.313232
858;X = -3.124634	Y = -0.686890	Z = 1.874878
862;X = -3.124634	Y = -0.686890	Z = 1.874878
866;X = 3.467651	Y = 2.718262	Z = -3.468506
871;X = 3.467651	Y = 2.718262	Z = -3.468506
875;X = -1.750244	Y = 1.249390	Z = -2.499878
880;X = -1.750244	Y = 1.249390	Z = -2.499878
884;X = -1.750244	Y = 1.249390	Z = -2.499878
889;X = 2.437622	Y = 2.031738	Z = -2.062378
893;X = 2.437622	Y = 2.031738	Z = -2.062378
899;X = 1.468994	Y = -1.937500	Z = -2.906860
903;X = 1.468994	Y = -1.937500	Z = -2.906860
907;X = -1.313232	Y = 0.967773	Z = 0.031738
912;X = -1.313232	Y = 0.967773	Z = 0.031738
916;X = 2.843140	Y = -3.657227	Z = 2.968506
921;X = 2.843140	Y = -3.657227	Z = 2.968506
925;X = 2.843140	Y = -3.657227	Z = 2.968506
930;X = 3.937256	Y = -0.282227	Z = -1.437134
934;X = 3.937256	Y = -0.282227	Z = -1.437134
939;X = 2.969116	Y = -0.499268	Z = 1.155640
944;X = 2.969116	Y = -0.499268	Z = 1.155640
948;X = -0.531738	Y = -0.844604	Z = 1.312744
953;X = -0.531738	Y = -0.844604	Z = 1.312744
957;X = -3.594238	Y = 2.562378	Z = 1.062378
962;X = -3.594238	Y = 2.562378	Z = 1.062378
966;X = -3.594238	Y = 2.562378	Z = 1.062378
970;X = -3.031006	Y = 0.625244	Z = 0.813721
975;X = -3.031006	Y = 0.625244	Z = 0.813721
979;X = 0.563232	Y = -2.874756	Z = -0.937622
985;X = 0.563232	Y = -2.874756	Z = -0.937622
989;X = -0.875488	Y = -2.407227	Z = -0.125366
994;X = -0.875488	Y = -2.407227	Z = -0.125366
998;X = 3.811768	Y = 0.531372	Z = 0.406860
1002;X = 3.811768	Y = 0.531372	Z = 0.406860
1007;X = 3.811768	Y = 0.531372	Z = 0.406860
1011;X = -1.000610	Y = 0.937744	Z = -1.342895
1016;X = -1.000610	Y = 0.937744	Z = -1.342895
1020;X = -1.531982	Y = -1.530884	Z = -2.062866
1026;X = -1.531982	Y = -1.530884	Z = -2.062866
1030;X = -3.313110	Y = -3.937744	Z = -1.718872
1035;X = -3.313110	Y = -3.937744	Z = -1.718872
1039;X = 0.687988	Y = 3.218872	Z = 2.874878
1044;X = 0.687988	Y = 3.218872	Z = 2.874878
1048;X = 3.375732	Y = -3.062134	Z = 3.781250
1053;X = 3.375732	Y = -3.062134	Z = 3.781250
1057;X = 3.375732	Y = -3.062134	Z = 3.781250
